Idx	IdxFull	Ratio	Train	Val	Name
99      249	0.0006	965	114	bottle
100     308	0.0006	117	13	buffet, counter, sideboard
101	1969	0.0006	354	35	poster, posting, placard, notice, bill, card
102	2526	0.0006	108	9	stage
103	2928	0.0006	557	55	van
104	2337	0.0006	52	4	ship
105	1023	0.0005	99	5	fountain
106	609	0.0005	57	4	conveyer belt, conveyor belt, conveyer, conveyor, transporter
107	389	0.0005	292	31	canopy
108	2989	0.0005	77	9	washer, automatic washer, washing machine
109	1930	0.0005	340	38	plaything, toy
110	2668	0.0005	66	3	swimming pool, swimming bath, natatorium
111	2586	0.0005	465	49	stool
112	131	0.0005	50	4	barrel, cask
113	146	0.0005	622	75	basket, handbasket
114	3016	0.0005	80	9	waterfall, falls
115	2739	0.0005	59	3	tent, collapsible shelter
116	95	0.0005	531	72	bag
117	1563	0.0005	282	30	minibike, motorbike
118	642	0.0005	73	7	cradle
119	1708	0.0005	435	44	oven
120	103	0.0005	136	25	ball
121	1002	0.0005	116	24	food, solid food
122	2569	0.0004	266	31	step, stair
123	2704	0.0004	58	12	tank, storage tank
124	2833	0.0004	418	83	trade name, brand name, brand, marque
125	1551	0.0004	319	43	microwave, microwave oven
126	1981	0.0004	1193	139	pot, flowerpot
127	29	0.0004	97	23	animal, animate being, beast, brute, creature, fauna
128	187	0.0004	347	36	bicycle, bike, wheel, cycle 
129	1393	0.0004	52	5	lake
130	747	0.0004	246	22	dishwasher, dish washer, dishwashing machine
131	2254	0.0004	108	13	screen, silver screen, projection screen
132	206	0.0004	201	30	blanket, cover
133	2262	0.0004	285	21	sculpture
134	1260	0.0004	268	27	hood, exhaust hood
135	2243	0.0003	1020	108	sconce
136	2932	0.0003	1282	122	vase
137	2836	0.0003	528	65	traffic light, traffic signal, stoplight
138	2850	0.0003	453	57	tray
139	64	0.0003	671	100	ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin
140	894	0.0003	397	44	fan
141	1858	0.0003	92	8	pier, wharf, wharfage, dock
142	3109	0.0003	228	18	crt screen
143	1919	0.0003	570	59	plate
144	1583	0.0003	217	22	monitor, monitoring device
145	318	0.0003	206	19	bulletin board, notice board
146	2356	0.0003	130	14	shower
147	2046	0.0003	178	28	radiator
148	1098	0.0002	504	57	glass, drinking glass
149	530	0.0002	775	96	clock
150	954	0.0002	421	56	flag
